STARTED:[2015-02-16|00:04:47]
[2015-02-16|00:09:48];693;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|00:37:00];694;COM17;0019543679247;0019543679247;AmerEnglish;polly_game;11;Cellcom GN;READY
[2015-02-16|00:37:05];REQUEST_PENDING;COM17;0019543679247;0019543679247;AmerEnglish;polly_game;12;Cellcom GN;READY
[2015-02-16|00:37:10];REQUEST_PENDING;COM17;0019543679247;0019543679247;AmerEnglish;polly_game;11;Cellcom GN;READY
[2015-02-16|00:37:53];1;16;Cellcom GN;READY;COM20
[2015-02-16|00:37:54];1;16;Cellcom GN;READY;COM22
[2015-02-16|00:37:54];1;11;Cellcom GN;READY;COM16
[2015-02-16|00:38:05];1;11;Cellcom GN;READY;COM17
[2015-02-16|00:43:24];1;16;Cellcom GN;READY;COM20
[2015-02-16|00:43:25];1;16;Cellcom GN;READY;COM22
[2015-02-16|00:43:26];1;15;Cellcom GN;READY;COM16
[2015-02-16|00:43:36];1;15;Cellcom GN;READY;COM17
[2015-02-16|00:48:56];1;13;Cellcom GN;READY;COM20
[2015-02-16|00:48:56];1;13;Cellcom GN;READY;COM22
[2015-02-16|00:48:57];1;12;Cellcom GN;READY;COM16
[2015-02-16|00:49:06];1;12;Cellcom GN;READY;COM17
[2015-02-16|00:54:26];1;13;Cellcom GN;READY;COM22
[2015-02-16|00:54:27];1;13;Cellcom GN;READY;COM20
[2015-02-16|00:54:28];1;12;Cellcom GN;READY;COM16
[2015-02-16|00:54:36];1;12;Cellcom GN;READY;COM17
[2015-02-16|00:59:53];1;13;Cellcom GN;READY;COM22
[2015-02-16|00:59:55];1;13;Cellcom GN;READY;COM20
[2015-02-16|00:59:56];1;12;Cellcom GN;READY;COM16
[2015-02-16|01:00:03];1;12;Cellcom GN;READY;COM17
[2015-02-16|01:04:48];695;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|01:04:49];696;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|01:04:50];697;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|01:04:51];698;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|01:04:52];699;COM?;0019543679247;0019543679247;AmerEnglish;polly_browse;0;DELAYED;DELAYED
[2015-02-16|01:04:56];1;13;Cellcom GN;READY;COM22
[2015-02-16|01:04:59];1;13;Cellcom GN;READY;COM20
[2015-02-16|01:04:59];1;12;Cellcom GN;READY;COM16
[2015-02-16|01:05:06];1;12;Cellcom GN;READY;COM17
[2015-02-16|01:10:01];1;13;Cellcom GN;READY;COM22
[2015-02-16|01:10:03];1;13;Cellcom GN;READY;COM20
[2015-02-16|01:10:04];1;12;Cellcom GN;READY;COM16
[2015-02-16|01:10:09];1;12;Cellcom GN;READY;COM17
[2015-02-16|01:15:20];1;14;Cellcom GN;READY;COM22
[2015-02-16|01:15:22];1;14;Cellcom GN;READY;COM20
[2015-02-16|01:15:24];1;12;Cellcom GN;READY;COM16
[2015-02-16|01:15:29];1;12;Cellcom GN;READY;COM17
[2015-02-16|01:20:50];1;14;Cellcom GN;READY;COM22
[2015-02-16|01:20:52];1;14;Cellcom GN;READY;COM20
[2015-02-16|01:20:54];1;12;Cellcom GN;READY;COM16
[2015-02-16|01:20:59];1;12;Cellcom GN;READY;COM17
[2015-02-16|01:26:20];1;14;Cellcom GN;READY;COM22
[2015-02-16|01:26:22];1;14;Cellcom GN;READY;COM20
[2015-02-16|01:26:25];1;12;Cellcom GN;READY;COM16
[2015-02-16|01:26:30];1;12;Cellcom GN;READY;COM17
[2015-02-16|01:35:40];1;14;Cellcom GN;READY;COM22
[2015-02-16|01:35:40];1;14;Cellcom GN;READY;COM20
[2015-02-16|01:35:41];1;12;Cellcom GN;READY;COM16
[2015-02-16|01:35:43];1;12;Cellcom GN;READY;COM17
[2015-02-16|01:41:10];1;14;Cellcom GN;READY;COM22
[2015-02-16|01:41:10];1;14;Cellcom GN;READY;COM20
[2015-02-16|01:41:11];1;12;Cellcom GN;READY;COM16
[2015-02-16|01:41:15];1;12;Cellcom GN;READY;COM17
[2015-02-16|01:46:41];1;16;Cellcom GN;READY;COM22
[2015-02-16|01:46:41];1;16;Cellcom GN;READY;COM20
[2015-02-16|01:46:43];1;12;Cellcom GN;READY;COM16
[2015-02-16|01:46:45];1;12;Cellcom GN;READY;COM17
[2015-02-16|01:52:11];1;16;Cellcom GN;READY;COM22
[2015-02-16|01:52:12];1;16;Cellcom GN;READY;COM20
[2015-02-16|01:52:13];1;15;Cellcom GN;READY;COM16
[2015-02-16|01:52:17];1;15;Cellcom GN;READY;COM17
[2015-02-16|01:57:42];1;16;Cellcom GN;READY;COM22
[2015-02-16|01:57:43];1;16;Cellcom GN;READY;COM20
[2015-02-16|01:57:45];1;15;Cellcom GN;READY;COM16
[2015-02-16|01:57:47];1;15;Cellcom GN;READY;COM17
[2015-02-16|02:03:12];1;16;Cellcom GN;READY;COM22
[2015-02-16|02:03:13];1;16;Cellcom GN;READY;COM20
[2015-02-16|02:03:15];1;15;Cellcom GN;READY;COM16
[2015-02-16|02:03:18];1;15;Cellcom GN;READY;COM17
[2015-02-16|02:08:43];1;13;Cellcom GN;READY;COM22
[2015-02-16|02:08:44];1;13;Cellcom GN;READY;COM20
[2015-02-16|02:08:46];1;15;Cellcom GN;READY;COM16
